STATION,LINENAME,station_id,Complex ID,Complex Name,Daytime Routes
1 AV,L,1 AV_L,119,1 Av,L
1 AVE,L,1 AVE_L,119,1 Av,L
103 ST,6,103 ST_6,395,103 St,6
103 ST,1,103 ST_1,309,103 St,1
103 ST,BC,103 ST_BC,156,103 St,C B
103 ST-CORONA,7,103 ST-CORONA_7,450,103 St-Corona Plaza,7
104 ST,A,104 ST_A,193,104 St,A
104 ST,JZ,104 ST_JZ,82,104 St,J Z
110 ST,6,110 ST_6,394,110 St,6
110 ST-CATHEDRL,1,110 ST-CATHEDRL_1,308,Cathedral Pkwy (110 St),1
110 ST-CPN,23,110 ST-CPN_23,441,Central Park North (110 St),2 3
111 ST,A,111 ST_A,194,111 St,A
111 ST,7,111 ST_7,449,111 St,7
111 ST,J,111 ST_J,81,111 St,J
116 ST,BC,116 ST_BC,154,116 St,C B
116 ST,23,116 ST_23,440,116 St,2 3
116 ST,6,116 ST_6,393,116 St,6
116 ST-COLUMBIA,1,116 ST-COLUMBIA_1,307,116 St-Columbia University,1
121 ST,JZ,121 ST_JZ,80,121 St,J Z
125 ST,456,125 ST_456,392,125 St,4 5 6
125 ST,23,125 ST_23,439,125 St,2 3
125 ST,ACBD,125 ST_ACBD,153,125 St,A C B D
125 ST,1,125 ST_1,306,125 St,1
135 ST,BC,135 ST_BC,152,135 St,C B
135 ST,23,135 ST_23,438,135 St,2 3
137 ST CITY COL,1,137 ST CITY COL_1,305,137 St-City College,1
137 ST-CITY COL,1,137 ST-CITY COL_1,305,137 St-City College,1
138 ST-3 AVE,6,138 ST-3 AVE_6,377,3 Av-138 St,6
138 ST-GR CONC,45,138 ST-GR CONC_45,391,138 St-Grand Concourse,4 5
138/GRAND CONC,45,138/GRAND CONC_45,391,138 St-Grand Concourse,4 5
14 ST,ACEL,14 ST_ACEL,618,14 St/8 Av,A C E L
14 ST,FLM123,14 ST_FLM123,601,14 St/6 Av,1 2 3 L F M
14 ST,123FLM,14 ST_123FLM,601,14 St/6 Av,1 2 3 L F M
14 ST-6 AVE,FLM123,14 ST-6 AVE_FLM123,601,14 St/6 Av,1 2 3 L F M
14 ST-UNION SQ,LNQR456W,14 ST-UNION SQ_LNQR456W,602,14 St-Union Sq,4 5 6 L N Q R W
14 ST-UNION SQ,456LNQRW,14 ST-UNION SQ_456LNQRW,602,14 St-Union Sq,4 5 6 L N Q R W
14 ST-UNION SQ,LNQR456,14 ST-UNION SQ_LNQR456,602,14 St-Union Sq,4 5 6 L N Q R W
14 ST-UNION SQ,456LNQR,14 ST-UNION SQ_456LNQR,602,14 St-Union Sq,4 5 6 L N Q R W
145 ST,ABCD,145 ST_ABCD,151,145 St,A C B D
145 ST,3,145 ST_3,437,145 St,3
145 ST,1,145 ST_1,304,145 St,1
148 ST-LENOX,3,148 ST-LENOX_3,436,Harlem-148 St,3
149 ST-3 AVE,25,149 ST-3 AVE_25,434,3 Av-149 St,2 5
149 ST-GR CONC,245,149 ST-GR CONC_245,603,149 St-Grand Concourse,2 4 5
149/GRAND CONC,245,149/GRAND CONC_245,603,149 St-Grand Concourse,2 4 5
15 ST-PROSPECT,FG,15 ST-PROSPECT_FG,241,15 St-Prospect Park,F G
155 ST,BD,155 ST_BD,220,155 St,B D
155 ST,C,155 ST_C,150,155 St,C
157 ST,1,157 ST_1,303,157 St,1
161 ST-YANKEE,4BD,161 ST-YANKEE_4BD,604,161 St-Yankee Stadium,4 B D
161 ST-YANKEE,BD4,161 ST-YANKEE_BD4,604,161 St-Yankee Stadium,4 B D
161/YANKEE STAD,BD4,161/YANKEE STAD_BD4,604,161 St-Yankee Stadium,4 B D
161/YANKEE STAD,4BD,161/YANKEE STAD_4BD,604,161 St-Yankee Stadium,4 B D
163 ST-AMSTERDM,C,163 ST-AMSTERDM_C,149,163 St-Amsterdam Av,C
167 ST,4,167 ST_4,388,167 St,4
167 ST,BD,167 ST_BD,218,167 St,B D
168 ST,AC1,168 ST_AC1,605,168 St-Washington Hts,1 A C
168 ST,1AC,168 ST_1AC,605,168 St-Washington Hts,1 A C
168 ST-BROADWAY,1AC,168 ST-BROADWAY_1AC,605,168 St-Washington Hts,1 A C
168 ST-BROADWAY,AC1,168 ST-BROADWAY_AC1,605,168 St-Washington Hts,1 A C
169 ST,F,169 ST_F,255,169 St,F
170 ST,4,170 ST_4,387,170 St,4
170 ST,BD,170 ST_BD,217,170 St,B D
174 ST,25,174 ST_25,428,174 St,2 5
174-175 ST,BD,174-175 ST_BD,216,174-175 Sts,B D
174-175 STS,BD,174-175 STS_BD,216,174-175 Sts,B D
175 ST,A,175 ST_A,147,175 St,A
176 ST,4,176 ST_4,385,176 St,4
18 AV,D,18 AV_D,66,18 Av,D
18 AV,N,18 AV_N,74,18 Av,N
18 AV,F,18 AV_F,245,18 Av,F
18 AVE,F,18 AVE_F,245,18 Av,F
18 AVE,N,18 AVE_N,74,18 Av,N
18 AVE,D,18 AVE_D,66,18 Av,D
18 ST,1,18 ST_1,321,18 St,1
181 ST,1,181 ST_1,301,181 St,1
181 ST,A,181 ST_A,146,181 St,A
182-183 ST,BD,182-183 ST_BD,214,182-183 Sts,B D
182-183 STS,BD,182-183 STS_BD,214,182-183 Sts,B D
183 ST,4,183 ST_4,383,183 St,4
190 ST,A,190 ST_A,145,190 St,A
191 ST,1,191 ST_1,300,191 St,1
2 AV,F,2 AV_F,232,2 Av,F
2 AVE,F,2 AVE_F,232,2 Av,F
20 AV,D,20 AV_D,67,20 Av,D
20 AV,N,20 AV_N,75,20 Av,N
20 AVE,D,20 AVE_D,67,20 Av,D
20 AVE,N,20 AVE_N,75,20 Av,N
207 ST,1,207 ST_1,298,207 St,1
21 ST,F,21 ST_F,221,21 St-Queensbridge,F
21 ST,G,21 ST_G,282,21 St,G
21 ST-QNSBRIDGE,F,21 ST-QNSBRIDGE_F,221,21 St-Queensbridge,F
215 ST,1,215 ST_1,297,215 St,1
219 ST,25,219 ST_25,420,219 St,2 5
22 AVE-BAY PKY,F,22 AVE-BAY PKY_F,247,Bay Pkwy,F
225 ST,25,225 ST_25,419,225 St,2 5
23 ST,FM,23 ST_FM,228,23 St,F M
23 ST,6,23 ST_6,405,23 St,6
23 ST,NR,23 ST_NR,14,23 St,R W
23 ST,1,23 ST_1,320,23 St,1
23 ST,NRW,23 ST_NRW,14,23 St,R W
23 ST,CE,23 ST_CE,165,23 St,C E
23 ST-5 AVE,NR,23 ST-5 AVE_NR,14,23 St,R W
23 ST-6 AVE,FM,23 ST-6 AVE_FM,228,23 St,F M
231 ST,1,231 ST_1,295,231 St,1
233 ST,25,233 ST_25,418,233 St,2 5
238 ST,1,238 ST_1,294,238 St,1
242 ST,1,242 ST_1,293,Van Cortlandt Park-242 St,1
25 AV,D,25 AV_D,69,25 Av,D
25 AVE,D,25 AVE_D,69,25 Av,D
25 ST,R,25 ST_R,31,25 St,R
28 ST,NRW,28 ST_NRW,13,28 St,R W
28 ST,6,28 ST_6,404,28 St,6
28 ST,1,28 ST_1,319,28 St,1
28 ST,NR,28 ST_NR,13,28 St,R W
28 ST-BROADWAY,NR,28 ST-BROADWAY_NR,13,28 St,R W
3 AV,L,3 AV_L,118,3 Av,L
3 AV 138 ST,6,3 AV 138 ST_6,377,3 Av-138 St,6
3 AV-149 ST,25,3 AV-149 ST_25,434,3 Av-149 St,2 5
3 AVE,L,3 AVE_L,118,3 Av,L
30 AV,NQW,30 AV_NQW,3,30 Av,N W
30 AV,NQ,30 AV_NQ,3,30 Av,N W
33 ST,6,33 ST_6,403,33 St,6
33 ST-RAWSON ST,7,33 ST-RAWSON ST_7,460,33 St-Rawson St,7
33 ST/RAWSON ST,7,33 ST/RAWSON ST_7,460,33 St-Rawson St,7
34 ST-HERALD SQ,BDFMNQRW,34 ST-HERALD SQ_BDFMNQRW,607,34 St-Herald Sq,B D F M N Q R W
34 ST-HERALD SQ,BDFMNQRW,34 ST-HERALD SQ_BDFMNQRW,607,34 St-Herald Sq,B D F M N Q R W
34 ST-HERALD SQ,BDFMNQR,34 ST-HERALD SQ_BDFMNQR,607,34 St-Herald Sq,B D F M N Q R W
34 ST-HERALD SQ,BDFMNQR,34 ST-HERALD SQ_BDFMNQR,607,34 St-Herald Sq,B D F M N Q R W
34 ST-HUDSON YD,7,34 ST-HUDSON YD_7,471,34 St-Hudson Yards,7
34 ST-PENN STA,ACE,34 ST-PENN STA_ACE,164,34 St-Penn Station,A C E
34 ST-PENN STA,123ACE,34 ST-PENN STA_123ACE,318,34 St-Penn Station,1 2 3
34 ST-PENN STA,123,34 ST-PENN STA_123,318,34 St-Penn Station,1 2 3
36 AV,NQ,36 AV_NQ,5,36 Av,N W
36 AV,NQW,36 AV_NQW,5,36 Av,N W
36 ST,MR,36 ST_MR,272,36 St,M R
36 ST,DNR,36 ST_DNR,32,36 St,D N R
39 AV,NQ,39 AV_NQ,6,39 Av-Dutch Kills,N W
39 AV,NQW,39 AV_NQW,6,39 Av-Dutch Kills,N W
4 AV-9 ST,DFGMNR,4 AV-9 ST_DFGMNR,608,4 Av-9 St,F G R
4 AVE,DFGMNR,4 AVE_DFGMNR,608,4 Av-9 St,F G R
40 ST LOWERY ST,7,40 ST LOWERY ST_7,459,40 St-Lowery St,7
40 ST-LOWERY ST,7,40 ST-LOWERY ST_7,459,40 St-Lowery St,7
42 ST-BRYANT PK,BDFM7,42 ST-BRYANT PK_BDFM7,609,42 St-Bryant Pk/5 Av,7 B D F M
42 ST-GRD CNTRL,4567S,42 ST-GRD CNTRL_4567S,610,Grand Central-42 St,4 5 6 7 S
42 ST-PA BUS TE,ACENQRS1237,42 ST-PA BUS TE_ACENQRS1237,611,Times Sq-42 St/Port Authority Bus Terminal,1 2 3 7 A C E N Q R W S
42 ST-PA BUS TE,ACENGRS1237,42 ST-PA BUS TE_ACENGRS1237,611,Times Sq-42 St/Port Authority Bus Terminal,1 2 3 7 A C E N Q R W S
42 ST-PORT AUTH,ACENQRS1237,42 ST-PORT AUTH_ACENQRS1237,611,Times Sq-42 St/Port Authority Bus Terminal,1 2 3 7 A C E N Q R W S
42 ST-PORT AUTH,ACENGRS1237,42 ST-PORT AUTH_ACENGRS1237,611,Times Sq-42 St/Port Authority Bus Terminal,1 2 3 7 A C E N Q R W S
42 ST-PORT AUTH,ACENGRS1237W,42 ST-PORT AUTH_ACENGRS1237W,611,Times Sq-42 St/Port Authority Bus Terminal,1 2 3 7 A C E N Q R W S
42 ST-PORT AUTH,ACENQRS1237W,42 ST-PORT AUTH_ACENQRS1237W,611,Times Sq-42 St/Port Authority Bus Terminal,1 2 3 7 A C E N Q R W S
42 ST-TIMES SQ,ACENQRS1237,42 ST-TIMES SQ_ACENQRS1237,611,Times Sq-42 St/Port Authority Bus Terminal,1 2 3 7 A C E N Q R W S
42 ST-TIMES SQ,1237ACENQRS,42 ST-TIMES SQ_1237ACENQRS,611,Times Sq-42 St/Port Authority Bus Terminal,1 2 3 7 A C E N Q R W S
45 ST,R,45 ST_R,33,45 St,R
46 ST,MR,46 ST_MR,270,46 St,M R
46 ST BLISS ST,7,46 ST BLISS ST_7,458,46 St-Bliss St,7
46 ST-BLISS ST,7,46 ST-BLISS ST_7,458,46 St-Bliss St,7
47-50 ST-ROCK,BDFM,47-50 ST-ROCK_BDFM,225,47-50 Sts-Rockefeller Ctr,B D F M
47-50 STS ROCK,BDFM,47-50 STS ROCK_BDFM,225,47-50 Sts-Rockefeller Ctr,B D F M
49 ST,NQR,49 ST_NQR,10,49 St,N R W
49 ST,NQRW,49 ST_NQRW,10,49 St,N R W
49 ST-7 AVE,NQR,49 ST-7 AVE_NQR,10,49 St,N R W
4AV-9 ST,DFGMNR,4AV-9 ST_DFGMNR,608,4 Av-9 St,F G R
5 AV/53 ST,EM,5 AV/53 ST_EM,276,5 Av/53 St,E M
5 AV/59 ST,NQRW,5 AV/59 ST_NQRW,8,5 Av/59 St,N R W
5 AV/59 ST,NQR,5 AV/59 ST_NQR,8,5 Av/59 St,N R W
5 AVE,7BDFM,5 AVE_7BDFM,609,42 St-Bryant Pk/5 Av,7 B D F M
5 AVE-53 ST,EM,5 AVE-53 ST_EM,276,5 Av/53 St,E M
5 AVE-59 ST,NQR,5 AVE-59 ST_NQR,8,5 Av/59 St,N R W
5 AVE-BRYANT PK,7BDFM,5 AVE-BRYANT PK_7BDFM,609,42 St-Bryant Pk/5 Av,7 B D F M
50 ST,1,50 ST_1,316,50 St,1
50 ST,CE,50 ST_CE,162,50 St,C E
50 ST,D,50 ST_D,61,50 St,D
51 ST,6,51 ST_6,612,Lexington Av/51-53 Sts,6 E M
52 ST,7,52 ST_7,457,52 St,7
52 ST-LINCOLN,7,52 ST-LINCOLN_7,457,52 St,7
53 ST,R,53 ST_R,34,53 St,R
55 ST,D,55 ST_D,62,55 St,D
57 ST,F,57 ST_F,224,57 St,F
57 ST-7 AV,NQR,57 ST-7 AV_NQR,9,57 St-7 Av,N Q R W
57 ST-7 AV,NQRW,57 ST-7 AV_NQRW,9,57 St-7 Av,N Q R W
57 ST-7 AVE,NQR,57 ST-7 AVE_NQR,9,57 St-7 Av,N Q R W
59 ST,NR,59 ST_NR,35,59 St,N R
59 ST,NRW,59 ST_NRW,35,59 St,N R
59 ST,NQR456,59 ST_NQR456,613,Lexington Av/59 St,4 5 6 N R W
59 ST,456NQR,59 ST_456NQR,613,Lexington Av/59 St,4 5 6 N R W
59 ST,456NQRW,59 ST_456NQRW,613,Lexington Av/59 St,4 5 6 N R W
59 ST,NQR456W,59 ST_NQR456W,613,Lexington Av/59 St,4 5 6 N R W
59 ST COLUMBUS,1ABCD,59 ST COLUMBUS_1ABCD,614,59 St-Columbus Circle,1 A C B D
59 ST COLUMBUS,ABCD1,59 ST COLUMBUS_ABCD1,614,59 St-Columbus Circle,1 A C B D
59 ST-COLUMBUS,ABCD1,59 ST-COLUMBUS_ABCD1,614,59 St-Columbus Circle,1 A C B D
59 ST-COLUMBUS,1ABCD,59 ST-COLUMBUS_1ABCD,614,59 St-Columbus Circle,1 A C B D
6 AV,FLM123,6 AV_FLM123,601,14 St/6 Av,1 2 3 L F M
6 AVE,FLM123,6 AVE_FLM123,601,14 St/6 Av,1 2 3 L F M
61 ST WOODSIDE,7,61 ST WOODSIDE_7,456,61 St-Woodside,7
61 ST/WOODSIDE,7,61 ST/WOODSIDE_7,456,61 St-Woodside,7
63 DR-REGO PARK,MR,63 DR-REGO PARK_MR,263,63 Dr-Rego Park,M R
65 ST,MR,65 ST_MR,268,65 St,M R
66 ST-LINCOLN,1,66 ST-LINCOLN_1,314,66 St-Lincoln Center,1
67 AV,MR,67 AV_MR,262,67 Av,M R
67 AVE,MR,67 AVE_MR,262,67 Av,M R
68ST-HUNTER CO,6,68ST-HUNTER CO_6,399,68 St-Hunter College,6
68ST-HUNTER COL,6,68ST-HUNTER COL_6,399,68 St-Hunter College,6
69 ST,7,69 ST_7,455,69 St,7
69 ST-FISK AVE,7,69 ST-FISK AVE_7,455,69 St,7
7 AV,FG,7 AV_FG,240,7 Av,F G
7 AV,BDE,7 AV_BDE,277,7 Av,E B D
7 AV,BQ,7 AV_BQ,41,7 Av,B Q
7 AV-PARK SLOPE,FG,7 AV-PARK SLOPE_FG,240,7 Av,F G
7 AVE,BQ,7 AVE_BQ,41,7 Av,B Q
7 AVE-53 ST,BDE,7 AVE-53 ST_BDE,277,7 Av,E B D
71 ST,D,71 ST_D,64,71 St,D
72 ST,BC,72 ST_BC,160,72 St,C B
72 ST,123,72 ST_123,313,72 St,1 2 3
72 ST-2 AVE,Q,72 ST-2 AVE_Q,477,72 St,Q
74 ST-BROADWAY,7EFMR,74 ST-BROADWAY_7EFMR,616,Jackson Hts-Roosevelt Av/74 St-Broadway,7 E F M R
75 AV,EF,75 AV_EF,260,75 Av,E F
75 AVE,EF,75 AVE_EF,260,75 Av,E F
75 ST-ELDERTS,JZ,75 ST-ELDERTS_JZ,85,75 St-Elderts Ln,J Z
77 ST,6,77 ST_6,398,77 St,6
77 ST,R,77 ST_R,37,77 St,R
79 ST,1,79 ST_1,312,79 St,1
79 ST,D,79 ST_D,65,79 St,D
8 AV,ACEL,8 AV_ACEL,618,14 St/8 Av,A C E L
8 AV,N,8 AV_N,71,8 Av,N
8 AVE,N,8 AVE_N,71,8 Av,N
8 AVE,ACEL,8 AVE_ACEL,618,14 St/8 Av,A C E L
8 ST-B'WAY NYU,NR,8 ST-B'WAY NYU_NR,16,8 St-NYU,R W
8 ST-NYU,NRW,8 ST-NYU_NRW,16,8 St-NYU,R W
8 ST-NYU,NR,8 ST-NYU_NR,16,8 St-NYU,R W
80 ST,A,80 ST_A,190,80 St,A
81 ST-MUSEUM,BC,81 ST-MUSEUM_BC,159,81 St-Museum of Natural History,C B
82 ST-JACKSON H,7,82 ST-JACKSON H_7,453,82 St-Jackson Hts,7
85 ST-FOREST PK,J,85 ST-FOREST PK_J,84,85 St-Forest Pkwy,J
86 ST,R,86 ST_R,38,86 St,R
86 ST,1,86 ST_1,311,86 St,1
86 ST,BC,86 ST_BC,158,86 St,C B
86 ST,N,86 ST_N,79,86 St,N
86 ST,456,86 ST_456,397,86 St,4 5 6
86 ST-2 AVE,Q,86 ST-2 AVE_Q,476,86 St,Q
88 ST,A,88 ST_A,191,88 St,A
9 AV,D,9 AV_D,59,9 Av,D
9 AVE,D,9 AVE_D,59,9 Av,D
9 ST,DFGMNR,9 ST_DFGMNR,608,4 Av-9 St,F G R
90 ST-ELMHURST,7,90 ST-ELMHURST_7,452,90 St-Elmhurst Av,7
96 ST,BC,96 ST_BC,157,96 St,C B
96 ST,6,96 ST_6,396,96 St,6
96 ST,123,96 ST_123,310,96 St,1 2 3
96 ST-2 AVE,Q,96 ST-2 AVE_Q,475,96 St,Q
ALABAMA AV,J,ALABAMA AV_J,91,Alabama Av,J Z
ALABAMA AVE,J,ALABAMA AVE_J,91,Alabama Av,J Z
ALLERTON AV,25,ALLERTON AV_25,423,Allerton Av,2 5
ALLERTON AVE,25,ALLERTON AVE_25,423,Allerton Av,2 5
AQUEDUCT N.COND,A,AQUEDUCT N.COND_A,197,Aqueduct-N Conduit Av,A
AQUEDUCT RACETR,A,AQUEDUCT RACETR_A,196,Aqueduct Racetrack,A
AQUEDUCT TRACK,A,AQUEDUCT TRACK_A,196,Aqueduct Racetrack,A
AQUEDUCT-N CNDT,A,AQUEDUCT-N CNDT_A,197,Aqueduct-N Conduit Av,A
ASTOR PL,6,ASTOR PL_6,407,Astor Pl,6
ASTOR PLACE,6,ASTOR PLACE_6,407,Astor Pl,6
ASTORIA BLVD,NQW,ASTORIA BLVD_NQW,2,Astoria Blvd,N W
ASTORIA BLVD,NQ,ASTORIA BLVD_NQ,2,Astoria Blvd,N W
ASTORIA DITMARS,NQW,ASTORIA DITMARS_NQW,1,Astoria-Ditmars Blvd,N W
